audio_name,label,class
Non_penetration_0_0.wav,0,Non_penetration
Non_penetration_0_1.wav,0,Non_penetration
Non_penetration_0_2.wav,0,Non_penetration
Non_penetration_0_3.wav,0,Non_penetration
Non_penetration_0_4.wav,0,Non_penetration
Non_penetration_0_5.wav,0,Non_penetration
Non_penetration_0_6.wav,0,Non_penetration
Non_penetration_0_7.wav,0,Non_penetration
Non_penetration_0_8.wav,0,Non_penetration
Non_penetration_0_9.wav,0,Non_penetration
Non_penetration_0_10.wav,0,Non_penetration
Non_penetration_0_11.wav,0,Non_penetration
Non_penetration_0_12.wav,0,Non_penetration
Non_penetration_0_13.wav,0,Non_penetration
Non_penetration_0_14.wav,0,Non_penetration
Non_penetration_0_15.wav,0,Non_penetration
Non_penetration_0_16.wav,0,Non_penetration
Non_penetration_0_17.wav,0,Non_penetration
Non_penetration_0_18.wav,0,Non_penetration
Non_penetration_0_19.wav,0,Non_penetration
Non_penetration_0_20.wav,0,Non_penetration
Non_penetration_0_21.wav,0,Non_penetration
Non_penetration_0_22.wav,0,Non_penetration
Non_penetration_0_23.wav,0,Non_penetration
Non_penetration_0_24.wav,0,Non_penetration
Non_penetration_0_25.wav,0,Non_penetration
Non_penetration_0_26.wav,0,Non_penetration
Non_penetration_0_27.wav,0,Non_penetration
Non_penetration_0_28.wav,0,Non_penetration
Non_penetration_0_29.wav,0,Non_penetration
Non_penetration_0_30.wav,0,Non_penetration
Non_penetration_0_31.wav,0,Non_penetration
Non_penetration_0_32.wav,0,Non_penetration
Non_penetration_0_33.wav,0,Non_penetration
Non_penetration_0_34.wav,0,Non_penetration
Non_penetration_0_35.wav,0,Non_penetration
Non_penetration_0_36.wav,0,Non_penetration
Non_penetration_0_37.wav,0,Non_penetration
Non_penetration_0_38.wav,0,Non_penetration
Non_penetration_0_39.wav,0,Non_penetration
Non_penetration_0_40.wav,0,Non_penetration
Non_penetration_0_41.wav,0,Non_penetration
Non_penetration_0_42.wav,0,Non_penetration
Non_penetration_0_43.wav,0,Non_penetration
Non_penetration_0_44.wav,0,Non_penetration
Non_penetration_0_45.wav,0,Non_penetration
Non_penetration_0_46.wav,0,Non_penetration
Non_penetration_0_47.wav,0,Non_penetration
Non_penetration_0_48.wav,0,Non_penetration
Non_penetration_0_49.wav,0,Non_penetration
Non_penetration_0_50.wav,0,Non_penetration
Non_penetration_0_51.wav,0,Non_penetration
Non_penetration_0_52.wav,0,Non_penetration
Non_penetration_0_53.wav,0,Non_penetration
Non_penetration_0_54.wav,0,Non_penetration
Non_penetration_0_55.wav,0,Non_penetration
Non_penetration_0_56.wav,0,Non_penetration
Non_penetration_0_57.wav,0,Non_penetration
Non_penetration_0_58.wav,0,Non_penetration
Non_penetration_0_59.wav,0,Non_penetration
Non_penetration_0_60.wav,0,Non_penetration
Non_penetration_0_61.wav,0,Non_penetration
Non_penetration_0_62.wav,0,Non_penetration
Non_penetration_0_63.wav,0,Non_penetration
